# 72/79 canonical JSON with all 19 KP in-frame (no gross OOB). Start training/eval here.
# json_name | imagePath
000001.json | 000001.jpg
000001_1.json | 000001_1.jpg
000001_3.json | 000001_3.jpg
000001_4.json | 000001_4.jpg
000001_sedan_side_view.json | 000001_sedan_side_view.jpg
000001_suv_side_view.json | 000001_suv_side_view.jpg
000001_suv_side_view_press_release.json | 000001_suv_side_view_press_release.jpg
000001_suv_side_view_street.json | 000001_suv_side_view_street.jpg
000001_suv_side_view_white_background.json | 000001_suv_side_view_white_background.jpg
000002_1.json | 000002_1.jpg
000002_2.json | 000002_2.jpg
000002_3.json | 000002_3.jpg
000002_4.json | 000002_4.jpg
000003.json | 000003.jpg
000003_2.json | 000003_2.jpg
000003_sedan_side_view_white_background.json | 000003_sedan_side_view_white_background.jpg
000004_suv_side_view.json | 000004_suv_side_view.jpg
000005_side_profile_car_review.json | 000005_side_profile_car_review.jpg
000005_suv_side_profile_studio_shot.json | 000005_suv_side_profile_studio_shot.jpg
000005_toyota_camry_side_view.json | 000005_toyota_camry_side_view.jpg
000008_sedan_side_view_street.json | 000008_sedan_side_view_street.jpg
000008_suv_side_view.json | 000008_suv_side_view.jpg
000009_sedan_side_view_white_background.json | 000009_sedan_side_view_white_background.jpg
000011_suv_side_view.json | 000011_suv_side_view.jpg
000018_suv_side_view_white_background.json | 000018_suv_side_view_white_background.jpg
000021_suv_side_view_white_background.json | 000021_suv_side_view_white_background.jpg
000023_suv_side_profile_studio_shot.json | 000023_suv_side_profile_studio_shot.jpg
000026_suv_side_profile_studio_shot.json | 000026_suv_side_profile_studio_shot.jpg
0b179bac17f9455a88be1b3072e1ce82.json | 0b179bac17f9455a88be1b3072e1ce82.jpg
0d40f777e07245d39fc97cb6a5328f82.json | 0d40f777e07245d39fc97cb6a5328f82.jpg
14bba5d36e8c4bb3a3e0be1a760fb535.json | 14bba5d36e8c4bb3a3e0be1a760fb535.jpg
1a2afe04aee04341bc2cd59735d38110.json | 1a2afe04aee04341bc2cd59735d38110.jpg
1e974620f20e4f5696197da46aceba89.json | 1e974620f20e4f5696197da46aceba89.jpg
266122a3e4d64f2f93849913b1b04777.json | 266122a3e4d64f2f93849913b1b04777.jpg
28b6c78476954bbf9d1ff05069ffb869.json | 28b6c78476954bbf9d1ff05069ffb869.jpg
2d225fdb42bc42948cf85375f06833af.json | 2d225fdb42bc42948cf85375f06833af.jpg
35d58febdfbe4aa4918cdab6bff55782.json | 35d58febdfbe4aa4918cdab6bff55782.jpg
3c8524cf9330480b95104760ef3db182.json | 3c8524cf9330480b95104760ef3db182.jpg
40c1b5e7a2ff4fd7896933faf52aca5b.json | 40c1b5e7a2ff4fd7896933faf52aca5b.jpg
43b7b7aa25614f37a0688e043fc92f59.json | 43b7b7aa25614f37a0688e043fc92f59.jpg
4906d518d257493491b2e7a9105b0127.json | ..\..\..\dataset_raw\images\train\not_in_side_image_exception\4906d518d257493491b2e7a9105b0127.jpg
49b91a8098814ae28f4e19b2093c04e0.json | 49b91a8098814ae28f4e19b2093c04e0.jpg
4b63324f014d4d16a3697e6c25dd3382.json | 4b63324f014d4d16a3697e6c25dd3382.jpg
4d16ff1dded74e09b2cab9a7c4ea0b33.json | 4d16ff1dded74e09b2cab9a7c4ea0b33.jpg
4d75c5a6c7ad4d9e9ff65c8828989552.json | 4d75c5a6c7ad4d9e9ff65c8828989552.jpg
66d54dc251164fe2ba028e180a0582c6.json | ..\..\..\dataset_raw\images\train\not_in_side_image_exception\66d54dc251164fe2ba028e180a0582c6.jpg
6d18d18705eb471bb17d0d6f85bc8b84.json | 6d18d18705eb471bb17d0d6f85bc8b84.jpg
7136186a396447668d39f0fd96644697.json | 7136186a396447668d39f0fd96644697.jpg
77452f94cc0948efafaf576322275f88.json | ..\..\..\dataset_raw\images\train\not_in_side_image_exception\77452f94cc0948efafaf576322275f88.jpg
7c7d9946948442c1856c9b3b3dc0b1d2.json | 7c7d9946948442c1856c9b3b3dc0b1d2.jpg
80040de2161745fd81831178069de009.json | 80040de2161745fd81831178069de009.jpg
85c130e34cfa46888646069a1f3f6914.json | 85c130e34cfa46888646069a1f3f6914.jpg
8cdc479cbc334d6ea270fecf9c6fc11e.json | 8cdc479cbc334d6ea270fecf9c6fc11e.jpg
98bed59881bc440eaa062d5d03eb58d9.json | 98bed59881bc440eaa062d5d03eb58d9.jpg
9b761034d8bf4f48ad3198f8b5d12b0a.json | 9b761034d8bf4f48ad3198f8b5d12b0a.jpg
a070e82633774546aebfcb2f168cc1bd.json | a070e82633774546aebfcb2f168cc1bd.jpg
a251f17f78df4e40add8022ff579efcb.json | a251f17f78df4e40add8022ff579efcb.jpg
a26489cf79d34e679a3d8ff0231479b7.json | a26489cf79d34e679a3d8ff0231479b7.jpg
a71a2301c5184dfcb6596d5b11a63141.json | a71a2301c5184dfcb6596d5b11a63141.jpg
ac8242c740eb4f0aacb9c12e37060082.json | ac8242c740eb4f0aacb9c12e37060082.jpg
afe1c30d4ca948c28b1a957f30d8e010.json | afe1c30d4ca948c28b1a957f30d8e010.jpg
b67acfa8e385462aa06e81ff2547e1e7.json | b67acfa8e385462aa06e81ff2547e1e7.jpg
c2aa7a0befcb4e78ab0b3a19daca027b.json | ..\..\..\dataset_raw\images\train\not_in_side_image_exception\c2aa7a0befcb4e78ab0b3a19daca027b.jpg
c99d07b5c9b2408aa3cc9dd72e456d16.json | c99d07b5c9b2408aa3cc9dd72e456d16.jpg
cc410b0cd7774e379af87f4726f2a94d.json | cc410b0cd7774e379af87f4726f2a94d.jpg
e4264e036bc544c9a46a4a0b334d9179.json | e4264e036bc544c9a46a4a0b334d9179.jpg
e596c0200f2f436ab25ae3e7382c16c9.json | e596c0200f2f436ab25ae3e7382c16c9.jpg
f1e50c7ed76c413dad8ba0c69014c7a8.json | f1e50c7ed76c413dad8ba0c69014c7a8.jpg
sedan_side_view__000011.json | sedan_side_view__000011.jpg
sedan_side_view_street__000007.json | sedan_side_view_street__000007.jpg
stanford_00001.json | stanford_00001.jpg
stanford_00003.json | stanford_00003.jpg
